Time,Latitude,Longitude
2018-09-07 15:11:11,36.9678572,-121.9627408
2018-09-07 15:18:57,36.9706315,-121.9648832
2018-09-07 15:21:05,36.9816431,-121.9644818
2018-09-07 15:23:10,36.9832591,-121.92731
2018-09-07 15:25:22,36.9750804,-121.8865043
2018-09-07 15:27:22,36.9541648,-121.8561128
2018-09-07 15:29:28,36.9342647,-121.8203267
2018-09-07 15:31:55,36.9254727,-121.7964162
2018-09-07 15:34:04,36.9363519,-121.7792411
2018-09-07 15:36:42,36.9411307,-121.7699412
2018-09-07 15:38:50,36.940083,-121.76526
2018-09-07 15:44:14,36.9361633,-121.7442237
2018-09-07 15:51:39,36.9361297,-121.7447478
2018-09-07 15:53:40,36.937322,-121.7490134
2018-09-07 15:56:44,36.9378828,-121.771255
2018-09-07 15:59:22,36.9350405,-121.7817851
2018-09-07 16:03:57,36.9314935,-121.7879808
2018-09-07 16:05:05,36.9316879,-121.787951
2018-09-07 16:25:59,36.9317049,-121.787952
2018-09-07 16:37:18,36.931374,-121.7879926
2018-09-07 16:40:25,36.9301475,-121.776856
2018-09-07 16:42:41,36.9204511,-121.7828785
2018-09-07 16:44:48,36.9152452,-121.765896
2018-09-07 16:46:59,36.9107647,-121.7585042
2018-09-07 16:50:28,36.9107274,-121.7584045
2018-09-07 16:51:17,36.9107269,-121.7584289
2018-09-07 17:47:11,36.9107408,-121.758484
2018-09-07 17:49:25,36.9131545,-121.7643256
2018-09-07 17:52:02,36.9158857,-121.7674215
2018-09-07 17:54:02,36.9223361,-121.7745614
2018-09-07 17:56:42,36.930186,-121.768267
2018-09-07 17:59:32,36.9351379,-121.7787114
2018-09-07 18:02:50,36.9317267,-121.7878794
2018-09-07 18:23:21,36.9315435,-121.7877304
2018-09-07 18:28:41,36.9313909,-121.7880028
2018-09-07 18:30:51,36.9245825,-121.7872376
2018-09-07 18:33:21,36.9182464,-121.7818975
2018-09-07 18:36:56,36.9145982,-121.7611234
2018-09-07 19:00:40,36.9110198,-121.7582604
2018-09-07 20:20:15,36.9109214,-121.7583499
2018-09-07 20:36:10,36.9085646,-121.7625855
2018-09-07 20:39:04,36.8964774,-121.7706353
2018-09-07 20:41:07,36.9194934,-121.7899944
2018-09-07 20:44:34,36.9494673,-121.8504388
2018-09-07 20:46:54,36.9750069,-121.8858676
2018-09-07 20:49:23,36.9840697,-121.9323627
2018-09-07 20:52:36,36.988162,-121.9933459
2018-09-07 20:56:09,36.9857023,-122.0257582
2018-09-07 21:04:38,36.9629736,-122.0408858
2018-09-07 21:06:41,36.9633517,-122.0415368
2018-09-07 21:09:16,36.9646981,-122.0418625
2018-09-07 21:11:28,36.966106,-122.0406804
2018-09-07 21:13:43,36.9666895,-122.0404102
2018-09-07 21:16:50,36.9717786,-122.0477855
2018-09-07 21:26:05,36.9999527,-122.0577679
2018-09-07 21:28:33,37.0000136,-122.0624747
2018-09-07 21:36:24,37.0003482,-122.0636521
2018-09-07 21:39:42,37.0008043,-122.062966
2018-09-07 21:47:52,37.0008247,-122.0626496
2018-09-07 21:58:13,37.0005867,-122.0634554
2018-09-08 00:13:33,37.0008774,-122.0627168
2018-09-08 00:28:02,36.9998342,-122.062229
2018-09-08 00:39:55,36.969353,-122.046013
2018-09-08 00:42:18,36.9672331,-122.0392064
2018-09-08 00:45:01,36.9663766,-122.0403087
2018-09-08 00:47:07,36.9649519,-122.0418051
2018-09-08 00:50:18,36.9631682,-122.0412099
2018-09-08 00:52:37,36.9617699,-122.0379577
2018-09-08 00:54:49,36.9659352,-122.0351462
2018-09-08 00:57:24,36.968879,-122.0275707
2018-09-08 00:59:43,36.968813,-122.0194701
2018-09-08 01:02:07,36.9661943,-122.0121489
2018-09-08 01:04:35,36.9688092,-121.9978433
2018-09-08 01:06:41,36.9712797,-121.9857173
2018-09-08 01:08:48,36.9699607,-121.977554
2018-09-08 01:14:06,36.9696564,-121.9645246
2018-09-08 01:16:06,36.9696395,-121.964539
2018-09-08 01:18:07,36.9696824,-121.9644544
2018-09-08 01:20:07,36.9696582,-121.9645017
2018-09-08 01:23:06,36.9663471,-121.9646908
2018-09-08 01:51:29,36.9659062,-121.9649216
2018-09-08 01:55:50,36.9672725,-121.9649491
2018-09-08 01:57:58,36.9740226,-121.9648744
2018-09-08 02:01:08,36.9809985,-121.9648162
2018-09-08 02:07:39,36.954233,-121.8563083
2018-09-08 02:10:11,36.9326226,-121.8148789
2018-09-08 02:12:37,36.9185316,-121.7844077
2018-09-08 02:15:22,36.9168576,-121.7749306
2018-09-08 02:18:04,36.9133088,-121.7599446
2018-09-08 03:11:17,36.9108423,-121.7584668
2018-09-08 03:16:11,36.9109497,-121.7582732
2018-09-08 15:03:47,36.910533,-121.7584294
2018-09-08 15:06:34,36.9080348,-121.7620249
2018-09-08 15:09:56,36.9045143,-121.780477
2018-09-08 15:12:36,36.9342249,-121.8192601
2018-09-08 15:14:30,36.9523638,-121.8539756
2018-09-08 15:16:33,36.9751338,-121.8880166
2018-09-08 15:22:39,36.9715221,-121.9650182
2018-09-08 15:42:41,36.9701481,-121.9648941
2018-09-08 15:45:35,36.9830393,-121.9608252
2018-09-08 15:47:45,36.9818345,-121.9186992
2018-09-08 15:50:14,36.9663874,-121.8687352
2018-09-08 15:54:51,36.9221181,-121.7936144
2018-09-08 15:57:00,36.9171672,-121.77615
2018-09-08 15:59:15,36.9115504,-121.7587957
2018-09-08 16:00:55,36.911044,-121.7582588
2018-09-08 16:02:18,36.9111655,-121.7577937
2018-09-08 16:05:10,36.9111518,-121.7582819
2018-09-08 16:10:24,36.9111308,-121.7583149
2018-09-08 17:43:08,36.9107436,-121.7583459
2018-09-08 17:53:57,36.9109936,-121.758357
2018-09-08 18:22:22,36.9108826,-121.7581959
2018-09-08 18:35:08,36.9109638,-121.7580688
2018-09-08 22:08:00,36.910922,-121.75827
2018-09-08 22:27:04,36.9109691,-121.7583576
2018-09-08 22:29:12,36.910616,-121.7588811
2018-09-08 22:31:30,36.9101271,-121.7604559
2018-09-08 22:33:42,36.9022884,-121.762159
2018-09-08 22:35:50,36.9056941,-121.7811937
2018-09-08 22:38:08,36.9314296,-121.8097812
2018-09-08 22:40:24,36.9485944,-121.849565
2018-09-08 22:42:25,36.9723885,-121.8783301
2018-09-08 22:44:25,36.9798744,-121.913647
2018-09-08 22:46:36,36.9839771,-121.9497205
2018-09-08 22:49:34,36.9805798,-121.9650142
2018-09-08 22:52:06,36.9761473,-121.9648647
2018-09-08 23:09:01,36.973534,-121.9648009
2018-09-08 23:13:49,36.9809345,-121.9649648
2018-09-08 23:16:23,36.9850563,-121.9640276
2018-09-08 23:25:13,36.9850628,-121.9640502
2018-09-08 23:27:11,36.9854906,-121.964151
2018-09-08 23:29:11,36.9853327,-121.9645435
2018-09-08 23:31:21,36.98501,-121.977528
2018-09-08 23:33:33,36.9890948,-122.0175106
2018-09-08 23:35:42,36.9846759,-122.0294534
2018-09-08 23:37:53,36.9776695,-122.0347101
2018-09-08 23:40:38,36.9773387,-122.0545099
2018-09-08 23:42:40,36.9896729,-122.0674786
2018-09-08 23:45:00,36.9988523,-122.0644759
2018-09-08 23:47:23,37.0012925,-122.0626041
2018-09-09 00:07:51,37.0012186,-122.0630146
2018-09-09 00:25:19,37.0012027,-122.062943
2018-09-09 00:27:19,37.0010504,-122.0629242
2018-09-09 00:29:27,36.9983651,-122.0642884
2018-09-09 00:31:38,36.989673,-122.0675943
2018-09-09 00:33:42,36.9773688,-122.055514
2018-09-09 00:36:00,36.9657242,-122.0466251
2018-09-09 00:40:58,36.9616749,-122.0449874
2018-09-09 01:01:19,36.9622919,-122.044592
2018-09-09 01:03:47,36.9701013,-122.0368574
2018-09-09 01:05:54,36.9836854,-122.0308807
2018-09-09 01:15:01,36.9714284,-121.876286
2018-09-09 01:20:09,36.9219939,-121.7935942
2018-09-09 01:25:04,36.9150477,-121.7619999
2018-09-09 01:27:23,36.9108748,-121.7586721
2018-09-09 01:29:43,36.9111573,-121.7578728
2018-09-09 01:33:50,36.9107661,-121.7584013
2018-09-09 02:20:47,36.9105681,-121.7583031
2018-09-09 03:59:07,36.9114753,-121.7581532
2018-09-09 13:30:24,36.9108684,-121.7581466
2018-09-09 18:53:23,36.9111624,-121.758307
2018-09-09 18:58:56,36.911027,-121.7583296
2018-09-09 19:16:22,36.9102525,-121.7585385
2018-09-09 19:28:34,36.9110926,-121.7583248
2018-09-09 20:09:53,36.9110763,-121.7583387
2018-09-09 20:20:35,36.911067,-121.7583082
2018-09-09 20:30:45,36.9109618,-121.7583551
2018-09-09 20:53:07,36.9112964,-121.7582928
2018-09-09 20:56:32,36.9104656,-121.7600047
2018-09-09 20:59:23,36.9156884,-121.7663706
2018-09-09 21:02:12,36.9160208,-121.7750393
2018-09-09 21:05:02,36.9153007,-121.7745421
2018-09-09 21:05:11,36.9153688,-121.7755546
2018-09-09 21:12:05,36.9154263,-121.7743867
2018-09-09 21:33:29,36.9157621,-121.7751001
2018-09-09 21:42:30,36.9162377,-121.7706638
2018-09-09 21:46:56,36.9106544,-121.7584312
2018-09-09 23:31:53,36.9106085,-121.7582788
2018-09-09 23:33:59,36.9106648,-121.7583912
2018-09-09 23:38:44,36.9106149,-121.757993
2018-09-09 23:50:22,36.9105721,-121.7585175
2018-09-10 00:02:50,36.9109491,-121.7582952
